20:41:02, 03514EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
20:41:04, 03514EF4 ,192.168.31.240.62330 , 192.168.31.1.53 , 75
20:41:04, 03514F54 ,192.168.31.1.53 , 192.168.31.240.62330 , 437
20:41:05, 03515120 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
20:41:05, 035151B8 ,192.168.31.240.62045 , 192.168.31.1.53 , 78
20:41:05, 0351521C ,192.168.31.1.53 , 192.168.31.240.62045 , 408
20:41:06, 03514EF4 ,192.168.31.240.63993 , 192.168.31.1.53 , 74
20:41:06, 03514F54 ,192.168.31.1.53 , 192.168.31.240.63993 , 404
20:41:06, 035150FC ,192.168.31.240.50699 , 192.168.31.1.53 , 72
20:41:06, 03515158 ,192.168.31.240.64516 , 192.168.31.1.53 , 72
20:41:06, 035151B4 ,192.168.31.1.53 , 192.168.31.240.50699 , 479
20:41:06, 035153A8 ,192.168.31.1.53 , 192.168.31.240.64516 , 479
20:41:06, 0351559C ,192.168.31.240.56610 , 192.168.31.1.53 , 80
20:41:06, 03515600 ,192.168.31.1.53 , 192.168.31.240.56610 , 391
20:41:06, 0351579C ,192.168.31.240.53850 , 192.168.31.1.53 , 80
20:41:06, 03515800 ,192.168.31.1.53 , 192.168.31.240.53850 , 132
20:41:06, 03515898 ,192.168.31.240.59048 , 192.168.31.1.53 , 78
20:41:06, 035158FC ,192.168.31.1.53 , 192.168.31.240.59048 , 408
20:41:06, 03515AA8 ,192.168.31.240.57153 , 192.168.31.1.53 , 77
20:41:06, 03515B0C ,192.168.31.240.57153 , 192.168.31.1.53 , 77
20:41:06, 03515B70 ,192.168.31.1.53 , 192.168.31.240.57153 , 407
20:41:06, 03515D1C ,192.168.31.1.53 , 192.168.31.240.57153 , 93
20:41:06, 03514EF4 ,192.168.31.240.60212 , 192.168.31.1.53 , 75
20:41:06, 03514F54 ,192.168.31.240.55242 , 192.168.31.1.53 , 78
20:41:06, 03514FB8 ,192.168.31.1.53 , 192.168.31.240.60212 , 542
20:41:06, 035151EC ,192.168.31.240.54158 , 192.168.31.1.53 , 84
20:41:06, 03515254 ,192.168.31.1.53 , 192.168.31.240.55242 , 548
20:41:06, 0351548C ,192.168.31.240.64434 , 192.168.31.1.53 , 84
20:41:06, 035154F4 ,192.168.31.1.53 , 192.168.31.240.54158 , 476
20:41:06, 03514EF4 ,192.168.31.240.59851 , 192.168.31.1.53 , 84
20:41:06, 03514F5C ,192.168.31.1.53 , 192.168.31.240.64434 , 460
20:41:06, 0351513C ,192.168.31.1.53 , 192.168.31.240.59851 , 141
20:41:06, 035151E0 ,192.168.31.240.57868 , 192.168.31.1.53 , 84
20:41:06, 03515248 ,192.168.31.1.53 , 192.168.31.240.57868 , 148
20:41:07, 03514EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
20:41:11, 03514EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
20:41:11, 03514F8C ,192.168.31.240.58874 , 120.131.14.181.9402 , 151
20:41:11, 03515038 ,192.168.31.1.35471 , 239.255.255.250.1900 , 434
20:41:11, 03515200 ,192.168.31.1.35471 , 239.255.255.250.1900 , 506
20:41:11, 03515410 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
20:41:11, 035155E0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 502
20:41:11, 035157EC ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
20:41:11, 035159BC ,192.168.31.1.35471 , 239.255.255.250.1900 , 482
20:41:11, 03515BB4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
